session_id,timestamp,idle_duration_sec,zone,dimension
20260412_175523_fa92,2026-04-12 17:55:28,4.38,Zone 2,present
20260412_175523_fa92,2026-04-12 17:55:33,3.6,Zone 2,present
20260412_175523_fa92,2026-04-12 17:55:41,3.39,Zone 2,present
20260412_175523_fa92,2026-04-12 17:55:58,13.12,Zone 1,present
20260412_175523_fa92,2026-04-12 17:56:14,3.19,Zone 1,present
20260412_175523_fa92,2026-04-12 17:56:32,3.62,Zone 1,past
20260412_175523_fa92,2026-04-12 17:57:00,4.09,Zone 3,present
20260412_175523_fa92,2026-04-12 17:57:25,3.29,Zone 1,future
20260412_175523_fa92,2026-04-12 17:57:43,3.53,Zone 1,future
20260412_175523_fa92,2026-04-12 17:57:48,4.54,Zone 4,future
20260412_175523_fa92,2026-04-12 17:58:24,4.08,Zone 4,past
20260412_175523_fa92,2026-04-12 17:58:31,4.6,Zone 1,past
20260412_175523_fa92,2026-04-12 17:59:01,3.34,Zone 1,future
20260412_175523_fa92,2026-04-12 17:59:04,3.77,Zone 2,future
20260412_175523_fa92,2026-04-12 17:59:29,19.0,Zone 1,present
20260412_175523_fa92,2026-04-12 17:59:39,7.76,Zone 1,present
20260412_175523_fa92,2026-04-12 18:00:20,3.49,Zone 1,present
20260412_175523_fa92,2026-04-12 18:00:25,3.6,Zone 1,present
20260412_175523_fa92,2026-04-12 18:01:24,3.73,Zone 1,present
20260412_175523_fa92,2026-04-12 18:01:50,3.97,Zone 1,present
20260412_175523_fa92,2026-04-12 18:02:44,3.3,Zone 4,past
20260412_175523_fa92,2026-04-12 18:03:09,7.76,Zone 1,future
20260412_175523_fa92,2026-04-12 18:03:15,3.26,Zone 4,future
20260412_175523_fa92,2026-04-12 18:03:20,3.54,Zone 3,future
20260412_175523_fa92,2026-04-12 18:03:49,9.04,Zone 1,future
20260412_175523_fa92,2026-04-12 18:03:54,3.75,Zone 1,past
20260412_175523_fa92,2026-04-12 18:03:58,3.54,Zone 1,past
20260412_175523_fa92,2026-04-12 18:04:06,3.66,Zone 1,future
20260412_175523_fa92,2026-04-12 18:04:11,3.06,Zone 2,present
20260412_175523_fa92,2026-04-12 18:04:21,4.39,Zone 2,future
20260412_175523_fa92,2026-04-12 18:04:30,5.65,Zone 3,present
20260412_175523_fa92,2026-04-12 18:04:35,4.88,Zone 3,present
20260412_175523_fa92,2026-04-12 18:04:41,5.17,Zone 3,future
20260412_175523_fa92,2026-04-12 18:05:16,5.63,Zone 4,future
20260412_175523_fa92,2026-04-12 18:05:23,5.5,Zone 4,present
20260412_175523_fa92,2026-04-12 18:05:43,3.93,Zone 1,past
20260412_175523_fa92,2026-04-12 18:05:50,3.74,Zone 1,future
20260412_175523_fa92,2026-04-12 18:06:14,3.95,Zone 1,past
20260412_175523_fa92,2026-04-12 18:06:28,3.49,Zone 4,past
20260412_175523_fa92,2026-04-12 18:06:36,4.82,Zone 5,past
20260412_175523_fa92,2026-04-12 18:07:04,3.64,Zone 1,past
20260412_175523_fa92,2026-04-12 18:08:10,4.14,Zone 1,present
20260412_175523_fa92,2026-04-12 18:09:38,6.11,Zone 7,past
20260412_181610_a7bb,2026-04-12 18:16:15,5.36,Zone 2,present
20260412_181610_a7bb,2026-04-12 18:16:21,4.94,Zone 2,present
20260412_181610_a7bb,2026-04-12 18:16:28,3.24,Zone 2,present
20260412_181610_a7bb,2026-04-12 18:16:33,4.61,Zone 2,present
20260412_181610_a7bb,2026-04-12 18:16:36,3.65,Zone 2,present
20260412_181610_a7bb,2026-04-12 18:16:40,3.46,Zone 2,present
20260412_181610_a7bb,2026-04-12 18:16:45,4.74,Zone 1,present
20260412_181610_a7bb,2026-04-12 18:16:51,3.65,Zone 1,present
20260412_181610_a7bb,2026-04-12 18:16:57,5.87,Zone 1,present
20260412_181610_a7bb,2026-04-12 18:17:02,5.6,Zone 1,present
20260412_181610_a7bb,2026-04-12 18:17:10,3.64,Zone 1,past
20260412_181610_a7bb,2026-04-12 18:17:20,3.63,Zone 1,present
20260412_181610_a7bb,2026-04-12 18:17:29,6.86,Zone 1,present
20260412_181610_a7bb,2026-04-12 18:17:39,10.29,Zone 1,present
20260412_181610_a7bb,2026-04-12 18:17:47,8.54,Zone 1,present
